p1_id,p2_id,doc_id,sentence_index,label,expectation,tokens,p1_text,p1_start,p1_end,p2_text,p2_start,p2_end,is_correct
74f430c0-8c9f-430b-96ba-b47663a53b5e_8_32_33,74f430c0-8c9f-430b-96ba-b47663a53b5e_8_43_44,74f430c0-8c9f-430b-96ba-b47663a53b5e,8,t,0.946,"{Several,other,top,businessmen,who,have,been,inducted,into,Quinnipiac,'s,Business,Leader,Hall,of,Fame,attended,the,event,"","",including,David,Darst,"","",managing,director,and,chief,investment,strategist,of,;,Gabriel,Ferrucci,"","",owner,and,manager,of,Ferrucci,Properties,LLC,;,Kenneth,Neilson,"","",former,chairman,"","",president,and,CEO,of,;,and,William,Weldon,"","",chairman,of,.}",Gabriel Ferrucci,32,33,Kenneth Neilson,43,44,
3d9f70b5-46e0-49f8-8679-15d8eee94a92_1_38_39,3d9f70b5-46e0-49f8-8679-15d8eee94a92_1_49_50,3d9f70b5-46e0-49f8-8679-15d8eee94a92,1,t,0.969,"{Green,Tree,International,"","",Inc.,"","",the,parent,company,of,Amercanex,"","",the,American,Cannabis,Exchange,"","",today,announced,that,former,Dubai,Mercantile,Exchange,-LRB-,DME,-RRB-,CEO,Gordon,Rutledge,"","",along,with,fellow,former,NYMEX,Board,Member,James,McNally,have,joined,their,former,NYMEX,colleagues,Richard,Schaeffer,and,David,Greenberg,at,Amercanex,.}",James McNally,38,39,David Greenberg,49,50,1
625e03de-9bce-4463-8423-67a4556b2cb3_6_6_7,625e03de-9bce-4463-8423-67a4556b2cb3_6_9_10,625e03de-9bce-4463-8423-67a4556b2cb3,6,,0.941,"{Parliamentary,secretaries,including,Kelly,O'Dwyer,"","",Michael,McCormack,and,Christian,Porter,are,tipped,to,move,to,the,outer,ministry,.}",Michael McCormack,6,7,Christian Porter,9,10,1
e55c4ff5-d186-42c2-ad2f-0fb097bd3b70_26_6_6,e55c4ff5-d186-42c2-ad2f-0fb097bd3b70_26_8_8,e55c4ff5-d186-42c2-ad2f-0fb097bd3b70,26,,0.905,"{White,"","",Rousey,"","",Holm,"","",Jedrzejczyk,and,Letourneau,flew,to,Sydney,last,night,for,more,media,obligations,on,Thursday,before,flying,home,.}",Jedrzejczyk,6,6,Letourneau,8,8,UNKNOWN
59e2169a-49e9-4592-a270-ccefb96c20ee_1_3_4,59e2169a-49e9-4592-a270-ccefb96c20ee_1_6_7,59e2169a-49e9-4592-a270-ccefb96c20ee,1,,0.905,"{On,Sunday,"","",Ben,Affleck,and,Jennifer,Garner,met,up,at,Nobu,in,Malibu,"","",CA,"","",for,dinner,with,friends,.}",Ben Affleck,3,4,Jennifer Garner,6,7,
7f52fb2c-e483-4ba5-81f0-bb434f6fdf61_16_3_3,7f52fb2c-e483-4ba5-81f0-bb434f6fdf61_16_5_5,7f52fb2c-e483-4ba5-81f0-bb434f6fdf61,16,,0.942,"{OLIVIER,MORIN,/,Ronaldo,and,Messi,will,continue,to,tussle,over,various,records,.}",Ronaldo,3,3,Messi,5,5,
b9689c5a-503e-4ae3-81b2-896b2f06a4f5_1_3_6,b9689c5a-503e-4ae3-81b2-896b2f06a4f5_1_8_9,b9689c5a-503e-4ae3-81b2-896b2f06a4f5,1,,0.905,"{Chad,Kroeger,and,Avril,Lavigne,Avril,Lavigne,and,Chad,Kroeger,have,split,after,two,years,of,marriage,.}",Avril Lavigne Avril Lavigne,3,6,Chad Kroeger,8,9,
29e95352-4fb8-4e8e-9fb2-374fc54b63ce_3_16_17,29e95352-4fb8-4e8e-9fb2-374fc54b63ce_3_19_20,29e95352-4fb8-4e8e-9fb2-374fc54b63ce,3,,0.906,"{They,put,a,call,into,the,local,water,sport,centre,Extreme,Academy,who,alerted,RNLI,lifeguards,Georges,Tickner,and,Warren,Llewllyn,"","",who,launched,the,RWC,at,1pm,"","",with,both,Newquay,inshore,lifeboats,also,called,in,to,assist,.}",Georges Tickner,16,17,Warren Llewllyn,19,20,1
c6be4b82-e2aa-4a52-8385-9abea1be65ec_52_4_4,c6be4b82-e2aa-4a52-8385-9abea1be65ec_52_6_6,c6be4b82-e2aa-4a52-8385-9abea1be65ec,52,,0.985,"{Bindi,and,Derek,and,Nick,and,Sharna,top,the,leaderboard,.}",Nick,4,4,Sharna,6,6,
e65a5728-c5a7-436a-99da-c6aab37422e0_25_0_1,e65a5728-c5a7-436a-99da-c6aab37422e0_25_3_4,e65a5728-c5a7-436a-99da-c6aab37422e0,25,,0.911,"{David,Evans,and,Jeremy,Snaith,are,the,dynamic,duo,enshrined,in,Melbourne,Mining,Club,folklore,as,the,``,Bananas,in,Pyjamas,'',following,a,certain,Etihad,flight,in,2007,.}",David Evans,0,1,Jeremy Snaith,3,4,1
